Utterance,Speaker,Dialogue_ID,Start_Time,End_Time,Wav_Path,Video_Path,Emotion,Utterance_ID
I'm here to get an ID.,Ses01F_impro01_F008,0,56.16,58.8225,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,14
"No.  I need another ID, a separate one.",Ses01F_impro01_M008,0,58.18,62.59,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,15
Like what?  Like a birth certificate?,Ses01F_impro01_F009,0,61.87,65.97,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,16
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",Ses01F_impro01_M009,0,65.51,73,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,17
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Ses01F_impro01_F011,0,72.45,82.26,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,18
"Yeah.  We keep it on file, but we need an ID to access that file.",Ses01F_impro01_M010,0,81.59,86.03,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,19
That's out of control.,Ses01F_impro01_F012,0,85.27,88.02,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang,20
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,Ses01F_impro01_M011,0,87.15,94.39,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang,21
How long have you been working here?,Ses01F_impro01_F013,0,93.67,97.0218,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,22
"Clearly.  You know, do you have like a supervisor or something?",Ses01F_impro01_F014,0,97.89,102.96,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu,23
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Ses01F_impro01_M013,0,101.84,107.87,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang,24
That would - I would appreciate that.  Yeah.,Ses01F_impro01_F015,0,103.97,106.71,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,25
Did you get the mail? So you saw my letter?,Ses01F_impro02_F000,1,7.2688,16.6,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,0
Yeah.  I know.,Ses01F_impro02_F001,1,19.85,22.78,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,1
"I don't understand.  You've already done so much, I don't know why do you have to go back.",Ses01F_impro02_M001,1,21.76,27.5558,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,2
I don't know.  I put in that. request too. They didn't...,Ses01F_impro02_F002,1,26.5659,32.2895,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,3
"I guess, you know, everybody has to make sacrifices.",Ses01F_impro02_F003,1,32.3075,37.96,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,4
"There's people that have given more though, you know?",Ses01F_impro02_F004,1,47.34,53.11,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,5
I just don't see how they can make you leave when you have a new baby - we have a new kid.,Ses01F_impro02_M003,1,52.71,59.0534,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru,6
I know.,Ses01F_impro02_F005,1,58.75,61.31,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,7
"There's babies over there, though, that need mothers.",Ses01F_impro02_F006,1,64.255,68.47,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,8
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,Ses01F_impro02_M005,1,69.34,74.29,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,9
"Just, you know, kicking myself.",Ses01F_impro02_F008,1,87.2031,91.09,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,10
things just aren't what they seem.,Ses01F_impro02_F010,1,97.94,102.19,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,11
I know.,Ses01F_impro02_M008,1,110.5653,113.2,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru,12
I just don't see why it has to be you.,Ses01F_impro02_M009,1,114.1775,117.85,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,13
"If not me then, who?",Ses01F_impro02_F012,1,117.83,120.8605,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,14
What am I going to do? Huh?,Ses01F_impro02_M010,1,120.4105,124.63,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,15
"You'll videotape everything, yeah?",Ses01F_impro02_F013,1,127.82,133.9455,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,16
Yeah.,Ses01F_impro02_M011,1,133.88,137.1,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,17
"Maybe you can send it to me, like stream it, yeah?",Ses01F_impro02_F014,1,139.03,146.43,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,18
Don't you guys have access to computers over there.,Ses01F_impro02_M012,1,147.03,151.7101,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,19
Last month--  Yeah.,Ses01F_impro02_F015,1,151.4221,155.01,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,20
I just don't know how I'm going to do it without you.,Ses01F_impro02_M013,1,157.98,162.71,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,21
I have to find sitters.,Ses01F_impro02_F016,1,163.54,165.73,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,22
I can't raise a baby by myself.  How?,Ses01F_impro02_M014,1,164.885,169.5,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,23
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Ses01F_impro02_F017,1,169.36,176.015,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,24
I know.,Ses01F_impro02_M015,1,175.47,176.72,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,25
And your mother is close by.,Ses01F_impro02_F018,1,176.08,179.13,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu,26
I'll send you lots of letters.,Ses01F_impro02_F019,1,182.83,185.8894,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,27
And I want lots and lots and lots of pictures.,Ses01F_impro02_F020,1,186.58,191.11,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad,28
It's just not fair.,Ses01F_impro02_M016,1,195.1047,199.52,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru,29
So what's up?  What's new?,Ses01F_impro03_M000,2,3.24,5.46,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,0
Well Vegas was awesome.,Ses01F_impro03_F000,2,4.88,7.74,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,1
Yeah.  I heard.,Ses01F_impro03_M001,2,6.6,8.66,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,2
"And, um, I got married.",Ses01F_impro03_F001,2,7.93,11.37,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,3
Yeah.  In the old town part.,Ses01F_impro03_F002,2,12.8,15.37,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,4
Who did you marry?,Ses01F_impro03_M003,2,14.93,18.9075,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,exc,5
Um- Yes.  It was very romantic.,Ses01F_impro03_F004,2,21.75,25.52,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,6
It was at the slot machines.,Ses01F_impro03_F005,2,25.5584,28.14,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,7
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F_impro03_F006,2,28.37,34.71,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,8
He turned to you and was like...,Ses01F_impro03_M006,2,34.25,36.34,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,9
Hey.  Let's get married and I said okay.,Ses01F_impro03_F007,2,35.6349,40.1,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F007.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,10
[LAUGHTER] That's really romantic.,Ses01F_impro03_M007,2,37.7175,40.47,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,11
"Yeah.  Well.  You know, because he's leaving the next day.",Ses01F_impro03_F008,2,40.12,42.79,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,12
Yeah.,Ses01F_impro03_M008,2,42.09,43.41,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,13
But we're going to have a honeymoon cruise.,Ses01F_impro03_F009,2,42.84,44.54,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,14
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",Ses01F_impro03_M009,2,44.16,49.07,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,15
Oh.  I hadn't even thought about that.,Ses01F_impro03_F010,2,47.87,51.075,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,16
"He's not going to be a citizen, though.",Ses01F_impro03_F011,2,51.36,53.4925,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F011.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,17
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Ses01F_impro03_M011,2,52.92,56.85,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,18
Oh.  Totally.,Ses01F_impro03_F012,2,55.865,58.15,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,19
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",Ses01F_impro03_M012,2,57.46,61.375,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M012.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,20
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Ses01F_impro03_F013,2,60.73,65.86,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,21
Like you need another one of those.[LAUGHTER],Ses01F_impro03_M013,2,65.6425,68.44,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,22
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,Ses01F_impro03_F014,2,68.01,73.75,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F014.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,23
Is that your phone?,Ses01F_impro03_M014,2,73.41,76.9975,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,24
"Yeah, so [LAUGHTER] He's calling me now",Ses01F_impro03_F015,2,74.2675,78.8425,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,exc,25
He loves you.,Ses01F_impro03_M015,2,78.32,80.5,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,26
"He likes to keep tabs, you know.",Ses01F_impro03_F016,2,79.035,81.0875,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,27
How much did he win at the slot?,Ses01F_impro03_M016,2,80.7175,82.5225,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,28
"Uh, I think seven hundred and fifty dollars.",Ses01F_impro03_F017,2,82.0975,85.08,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,29
Penny slots. That's what he plays.,Ses01F_impro03_F018,2,85.1,88.0225,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,30
Yeah.,Ses01F_impro03_F019,2,88.08,89.5,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,31
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Ses01F_impro03_M019,2,89.12,93.91,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,32
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,Ses01F_impro03_F021,2,92.75,98.21,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,33
"But the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01F_impro03_M020,2,97.03,101.65,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,34
Fifty bucks. Mmhmm.,Ses01F_impro03_F022,2,99.7775,102.03,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,35
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Ses01F_impro03_M021,2,101.67,104.35,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,36
Yeah.,Ses01F_impro03_F023,2,102.62,103.4625,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,37
Well so now we're married. We have cat children.,Ses01F_impro03_F024,2,103.78,108.1825,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,38
Awesome.,Ses01F_impro03_M022,2,105.29,106.95,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M022.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,exc,39
[LAUGHTER] Cat babies.,Ses01F_impro03_M023,2,107.71,111.4,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,40
"We renamed Brenda, Lumber Janet.",Ses01F_impro03_F025,2,110.23,114.16,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,41
That's fair enough.,Ses01F_impro03_M024,2,117.36,119.58,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu,42
She needs a new name each state that we go into. [LAUGHTER],Ses01F_impro03_F026,2,114.19,120.2,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap,43
